City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san antonio de pale,-1.4014,5.6325,27.93,77,99,2.55,GQ,1706674458
1,margaret river,-33.95,115.0667,27.82,53,0,5.57,AU,1706674363
2,san angelo,31.4638,-100.437,11.14,54,0,3.09,US,1706674459
3,blackmans bay,-43.0167,147.3167,22.07,55,84,1.34,AU,1706674459
4,ushuaia,-54.8,-68.3,8.81,71,0,10.29,AR,1706674460
5,cartagena,10.3997,-75.5144,25.79,83,20,5.14,CO,1706674370
6,port elizabeth,-33.918,25.5701,21.29,88,0,3.09,ZA,1706674461
7,kasane,-17.8167,25.15,18.41,80,31,1.7,BW,1706674444
8,port elizabeth,-33.918,25.5701,21.29,88,0,3.09,ZA,1706674461
9,ormara,25.2088,64.6357,22.62,62,100,2.64,PK,1706674462
10,novo cruzeiro,-17.4681,-41.8753,19.49,97,100,1.21,BR,1706674326
11,jijiga,9.35,42.8,15.62,78,80,3.46,ET,1706674463
12,blackmans bay,-43.0167,147.3167,22.07,55,84,1.34,AU,1706674463
13,longyearbyen,78.2186,15.6401,-5.09,68,75,5.14,SJ,1706674464
14,nueva gerona,21.8833,-82.8,20.27,63,49,4.5,CU,1706674464
15,crane,31.3974,-102.3501,14.26,41,35,3.22,US,1706674464
16,dryden,49.7833,-92.7503,-0.84,93,20,4.63,CA,1706674465
17,edinburgh of the seven seas,-37.0676,-12.3116,13.83,57,86,0.09,SH,1706674465
18,xunchang,28.4543,104.715,10.36,65,89,1.16,CN,1706674466
19,puerto natales,-51.7236,-72.4875,8.33,86,55,1.7,CL,1706674466
20,kodiak,57.79,-152.4072,-12.27,61,0,0.0,US,1706674467
21,oliver,49.1831,-119.5524,5.8,100,100,0.0,CA,1706674467
22,adamstown,-25.066,-130.1015,25.62,76,100,11.95,PN,1706674467
23,yanjiang,30.1211,104.6481,10.74,56,97,0.11,CN,1706674468
24,port-aux-francais,-49.35,70.2167,4.02,74,88,13.7,TF,1706674468
25,hadibu,12.65,54.0333,24.37,75,93,1.65,YE,1706674469
26,blackmans bay,-43.0167,147.3167,22.07,55,84,1.34,AU,1706674463
27,port-aux-francais,-49.35,70.2167,4.02,74,88,13.7,TF,1706674468
28,kunigal,13.0222,77.0267,23.76,48,53,3.04,IN,1706674470
29,la passe,45.5549,-0.8967,6.13,91,91,2.31,FR,1706674470
30,taoudenni,22.6783,-3.9836,16.72,30,0,5.4,ML,1706674471
